brand.name,section.name,area.name,product.name,product.variety,placement.size
1800,Register,Flasks,Silver,,375 ml
1800,Spirits,Tequila,Silver,,750 ml
Absolut,Register,Nips,Vodka,,50 ml
Absolut,Register,Nips,Grapefruit Vodka,,50 ml
Absolut,Spirits,Vodka,Citron,,750 ml
Absolut,Spirits,Vodka,Grapefruit,,750 ml
Absolut,Spirits,Vodka,Vodka,,750 ml
Absolut,Spirits,Vodka,Vodka,,1.75 L
Aviation,Spirits,Gin,American Gin,,750 ml
Bacardi,Register,Nips,Superior,,50 ml
Bacardi,Register,Nips,Gold,,50 ml
Bacardi,Register,Nips,Limon,,50 ml
Bacardi,Register,Nips,Lime,,50 ml
Bacardi,Register,Nips,Raspberry,,50 ml
Bacardi,Register,Nips,Coconut,,50 ml
Bacardi,Spirits,Rum,Limon,,750 ml
Bacardi,Spirits,Rum,Lime,,750 ml
Bacardi,Spirits,Rum,Raspberry,,750 ml
Bacardi,Spirits,Rum,Coconut,,750 ml
Bacardi,Register,Flasks,Gold,,200 ml
Bacardi,Register,Flasks,Superior,,200 ml
Bacardi,Register,Flasks,Gold,,375 ml
Bacardi,Register,Flasks,Superior,,375 ml
Bacardi,Spirits,Rum,Superior,,750 ml
Bacardi,Spirits,Rum,Gold,,750 ml
Bacardi,Spirits,Rum,Superior,,1.75 L
Bacardi,Spirits,Rum,Gold,,1.75 L
Bailey's,Register,Flasks,Irish Cream,,375 ml
Bailey's,Register,Nips,Irish Cream,,50 ml
Bailey's,Spirits,Liqueur,Irish Cream,,750 ml
Bailey's,Spirits,Liqueur,Irish Cream,,1.75 L
Bombay Sapphire,Register,Flasks,Dry Gin,,375 ml
Bombay Sapphire,Register,Nips,Dry Gin,,50 ml
Bombay Sapphire,Spirits,Gin,Dry Gin,,750 ml
Bombay Sapphire,Spirits,Gin,London Dry Gin,,750 ml
Bombay Sapphire,Spirits,Gin,Dry Gin,,1.75 L
Bombay Sapphire,Spirits,Gin,London Dry Gin,,1.75 L
Breaker,Spirits,Whiskey,Bourbon,,750 ml
Breaker,Spirits,Whiskey,Wheated Bourbon,,750 ml
Breaker,Spirits,Whiskey,Bourbon,Port barrel finished,750 ml
Bulleit,Register,Flasks,Rye,,375 ml
Bulleit,Register,Nips,Bourbon,,50 ml
Bulleit,Register,Nips,Rye,,50 ml
Bulleit,Spirits,Whiskey,Rye,,750 ml
Bulleit,Spirits,Whiskey,10-Year,,750 ml
Bulleit,Register,Flasks,Bourbon,,200 ml
Bulleit,Register,Flasks,Bourbon,,375 ml
Bulleit,Spirits,Whiskey,Bourbon,,750 ml
Bulleit,Spirits,Whiskey,Bourbon,,1.75 L
Bully Boy,Spirits,Gin,Gin,,750 ml
Bully Boy,Spirits,Rum,Rum,,750 ml
Bully Boy,Spirits,Vodka,Vodka,,750 ml
Bully Boy,Spirits,Whiskey,Whiskey,,750 ml
Bully Boy,Spirits,Whiskey,White Whiskey,,750 ml
Calyx,Spirits,Gin,Gin,,750 ml
Campari,Spirits,Liqueur,Campari,,750 ml
Canada Dry,Coolers,Soda,Tonic Water,,12 oz
Canada Dry,Coolers,Soda,Tonic Water,,1 L
Canada Dry,Coolers,Soda,Ginger Ale,,12 oz
Canada Dry,Coolers,Soda,Ginger Ale,,2 L
Captain Morgan,Register,Nips,Spiced Rum,100 proof,50 ml
Captain Morgan,Register,Nips,Spiced Rum,,50 ml
Captain Morgan,Spirits,Rum,Spiced Rum,100 proof,750 ml
Captain Morgan,Register,Flasks,Spiced Rum,,200 ml
Captain Morgan,Register,Flasks,Spiced Rum,,375 ml
Captain Morgan,Spirits,Rum,Spiced Rum,,750 ml
Captain Morgan,Spirits,Rum,Spiced Rum,,1.75 L
Casamigos,Spirits,Tequila,Blanco Tequila,,750 ml
Chambord,Register,Flasks,Chambord,,375 ml
Chambord,Spirits,Liqueur,Chambord,,750 ml
Chartruese,Spirits,Liqueur,Chartruese,Green,750 ml
Chartruese,Spirits,Liqueur,Chartruese,Yellow,750 ml
Cointreau,Register,Flasks,Triple Sec,,375 ml
Cointreau,Register,Nips,Triple Sec,,50 ml
Cointreau,Spirits,Liqueur,Triple Sec,,750 ml
Coke,Coolers,Soda,Coke,,20 oz
Coke,Coolers,Soda,Coke,,2 L
Diet Coke,Coolers,Soda,Diet Coke,,20 oz
Diet Coke,Coolers,Soda,Diet Coke,,2 L
Diet Mountain Dew,Coolers,Soda,Diet Mountain Dew,,20 oz
Diet Mountain Dew,Coolers,Soda,Diet Mountain Dew,,2 L
Diet Pepsi,Coolers,Soda,Diet Pepsi,,20 oz
Diet Pepsi,Coolers,Soda,Diet Pepsi,,2 L
Don Julio,Register,Flasks,Blanco Tequila,,375 ml
Don Julio,Spirits,Tequila,Blanco Tequila,,750 ml
Dr. McGillicuddy's,Register,Nips,Mentholmint,,50 ml
Dr. McGillicuddy's,Register,Nips,Grape,,50 ml
Dr. McGillicuddy's,Register,Nips,Butterscotch,,50 ml
Dr. McGillicuddy's,Register,Nips,Root Beer,,50 ml
Dr. McGillicuddy's,Register,Flasks,Mentholmint,,200 ml
Dr. McGillicuddy's,Register,Flasks,Mentholmint,,375 ml
Dr. McGillicuddy's,Spirits,Liqueur,Mentholmint,,750 ml
Dr. McGillicuddy's,Spirits,Liqueur,Mentholmint,,1.75 L
Drumshanbo,Spirits,Gin,Gunpowder Irish Gin,,750 ml
Empress,Spirits,Gin,1908 Gin,,750 ml
Espolon,Spirits,Tequila,Tequila Reposado,,750 ml
Espolon,Spirits,Tequila,Tequila Blanco,,750 ml
Espolon,Spirits,Tequila,Tequila Anejo,,750 ml
Evan Williams,Register,Nips,Bourbon,,50 ml
Evan Williams,Register,Flasks,Bourbon,,200 ml
Evan Williams,Register,Flasks,Bourbon,,375 ml
Evan Williams,Spirits,Whiskey,Bourbon,,750 ml
Evan Williams,Spirits,Whiskey,Bourbon,,1.75 L
Fever Tree,Coolers,Soda,Aromatic Tonic Water,,12 oz
Fever Tree,Coolers,Soda,Indian Tonic Water,,12 oz
Fever Tree,Coolers,Soda,Diet Tonic Water,,12 oz
Fever Tree,Coolers,Soda,Club Soda,,12 oz
Fever Tree,Coolers,Soda,Aromatic Tonic Water,,1 L
Fever Tree,Coolers,Soda,Indian Tonic Water,,1 L
Fever Tree,Coolers,Soda,Diet Tonic Water,,1 L
Fever Tree,Coolers,Soda,Club Soda,,1 L
Fireball,Register,Nips,Fireball,,50 ml
Fireball,Register,Flasks,Fireball,,200 ml
Fireball,Register,Flasks,Fireball,,375 ml
Fireball,Spirits,Whiskey,Fireball,,750 ml
Fireball,Spirits,Whiskey,Fireball,,1.75 L
Four Roses,Spirits,Whiskey,Barrel Aged,,750 ml
Four Roses,Spirits,Whiskey,Bourbon,,750 ml
Four Roses,Spirits,Whiskey,Bourbon,,1.75 L
Glendalough,Spirits,Gin,Gin,,750 ml
Glendalough,Spirits,Whiskey,Double Barrel Irish Whiskey,,750 ml
Glendalough,Spirits,Whiskey,Irish Whiskey,7-year-old,750 ml
Glendalough,Spirits,Whiskey,Irish Whiskey,13-year-old,750 ml
Gordon's,Spirits,Vodka,Vodka,,750 ml
Gordon's,Spirits,Vodka,London Dry Gin,,750 ml
Gordon's,Spirits,Vodka,Vodka,,1.75 L
Gordon's,Spirits,Vodka,London Dry Gin,,1.75 L
Goslings,Spirits,Rum,Black Seal Rum,,750 ml
Goslings,Coolers,Soda,Ginger Beer,,12 oz
Goslings,Coolers,Soda,Ginger Beer,,2 L
Grand Marnier,Register,Flasks,Grand Marnier,,375 ml
Grand Marnier,Register,Nips,Grand Marnier,,50 ml
Grand Marnier,Spirits,Liqueur,Grand Marnier,,750 ml
Grey Goose,Register,Flasks,Vodka,,375 ml
Grey Goose,Register,Nips,Vodka,,50 ml
Grey Goose,Register,Nips,Black Cherry Vodka,,50 ml
