brand.name,area.name,section.name,product.name,product.descriptor,placement.sizes
Bully Boy,Spirits,Gin,Gin,,750 ml
Hendricks,Spirits,Gin,Gin,,"750 ml, 1.75 L"
Short Path,Spirits,Gin,Gin,,750 ml
Short Path,Spirits,Gin,London Dry Gin,,750 ml
Short Path,Spirits,Gin,Spring Gin,,750 ml
Short Path,Spirits,Gin,Summer Gin,,750 ml
Short Path,Spirits,Gin,Autumn Gin,,750 ml
Short Path,Spirits,Gin,Winter Gin,,750 ml
Bombay Sapphire,Spirits,Gin,Dry Gin,,"750 ml, 1.75 L"
Bombay Sapphire,Spirits,Gin,London Dry Gin,,"750 ml, 1.75 L"
Drumshanbo,Spirits,Gin,Gunpowder Irish Gin,,750 ml
Glendalough,Spirits,Gin,Gin,,750 ml
Tanqueray,Spirits,Gin,Gin,,"750 ml, 1.75 L"
Hendricks,Spirits,Gin,Midsummer Solstice,,"750 ml, 1.75 L"
Empress,Spirits,Gin,1908 Gin,,750 ml
Aviation,Spirits,Gin,American Gin,,750 ml
Calyx,Spirits,Gin,Gin,,750 ml
Short Path,Spirits,Liqueur,Triple Sec,,750 ml
Short Path,Spirits,Liqueur,Americano Blanc,,750 ml
Short Path,Spirits,Liqueur,Ouzo,,750 ml
Short Path,Spirits,Liqueur,Apple Brandy,,750 ml
Short Path,Spirits,Liqueur,Pommeau,,750 ml
Short Path,Spirits,Liqueur,Summer Reserve,,750 ml
Bully Boy,Spirits,Rum,Rum,,750 ml
Short Path,Spirits,Rum,White Rum,,750 ml
Short Path,Spirits,Rum,Gold Rum,,750 ml
Short Path,Spirits,Rum,Rosid,,750 ml
Kraken,Spirits,Rum,Dark Rum,,"750 ml, 1.75 L"
Captain Morgan,Spirits,Rum,Spiced Rum,,"750 ml, 1.75 L"
Malibu,Spirits,Rum,Coconut Rum,,"750 ml, 1.75 L"
Rumchata,Spirits,Rum,Rumchata,,"750 ml, 1.75 L"
Bacardi,Spirits,Rum,Superior,,"750 ml, 1.75 L"
Bacardi,Spirits,Rum,Gold,,"750 ml, 1.75 L"
Bacardi,Spirits,Rum,Limon,,750 ml
Bacardi,Spirits,Rum,Lime,,750 ml
Bacardi,Spirits,Rum,Raspberry,,750 ml
Bacardi,Spirits,Rum,Coconut,,750 ml
Jose Cuervo,Spirits,Tequila,Silver Tequila,,"750 ml, 1.75 L"
Jose Cuervo,Spirits,Tequila,Gold Tequila,,"750 ml, 1.75 L"
Patron,Spirits,Tequila,Silver,,750 ml
Patron,Spirits,Tequila,Anejo,,750 ml
Patron,Spirits,Tequila,Reposado,,750 ml
Smirnoff,Spirits,Vodka,Vodka,,"750 ml, 1.75 L"
Smirnoff,Spirits,Vodka,Vodka,100 proof,"750 ml, 1.75 L"
Smirnoff,Spirits,Vodka,Raspberry,,"750 ml, 1.75 L"
Smirnoff,Spirits,Vodka,Blueberry,,750 ml
Smirnoff,Spirits,Vodka,Green Apple,,750 ml
Smirnoff,Spirits,Vodka,Strawberry,,750 ml
Smirnoff,Spirits,Vodka,Peppermint,,750 ml
Rubinoff,Spirits,Vodka,Vodka,,1.75 L
Rubinoff,Spirits,Vodka,Raspberry,,1.75 L
Rubinoff,Spirits,Vodka,Citrus,,1.75 L
Rubinoff,Spirits,Vodka,Green Apple,,1.75 L
Rubinoff,Spirits,Vodka,Lime Vodka,,1.75 L
Rubinoff,Spirits,Vodka,Whipped Cream,,1.75 L
Ketel One,Spirits,Vodka,Vodka,,"750 ml, 1.75 L"
Grey Goose,Spirits,Vodka,Vodka,,"750 ml, 1.75 L"
Grey Goose,Spirits,Vodka,Vodka,Gift set,750 ml
Grey Goose,Spirits,Vodka,Black Cherry,,750 ml
Bully Boy,Spirits,Vodka,Vodka,,750 ml
Skyy,Spirits,Vodka,Vodka,,"750 ml, 1.75 L"
Absolut,Spirits,Vodka,Vodka,,"750 ml, 1.75 L"
Absolut,Spirits,Vodka,Citron,,750 ml
